student_id,certificates_issued,minutes_watched
4640,1,586.8
5836,3,1903.1167
801,13,6066
2022,1,115.3667
6278,2,2181.3167
2731,2,508.5
2938,1,1444.7833
182,7,2018.8667
3239,6,2335.5833
1754,9,516.1833
3774,2,1798.0667
3780,1,266.6833
3183,5,147.55
999,2,502.1333
7382,1,1019.0833
5827,6,953.2333
4739,4,3273.4833
1046,1,2305.95
1852,1,806.2
2811,2,3192.95
2003,3,1028.7833
3577,2,329.9
4595,1,869.15
1540,2,675.6
1200,2,329.4
1619,6,1490.7333
969,1,642.4
1521,3,776.9167
6053,3,986.1333
6,1,148.1167
2737,1,680.5667
4723,2,700.55
862,1,1145.65
5080,2,1892.3167
2073,2,467.5333
1221,1,227.3
2091,1,2655.6167
841,3,1623.6333
7086,1,1399.1333
7540,1,518.1667
6159,2,253.15
1567,1,1286.9167
1652,2,1355.3167
9372,1,316.7
911,2,917.4167
8544,1,418.45
3338,1,1004.5833
8641,1,109.55
3423,1,1082.1333
268796,9,1844.5333
267959,1,809.7833
259283,1,564.65
270700,1,611.55
271154,6,2510.0167
255169,3,367.25
226169,2,802.75
261189,2,405.0833
275442,4,1505.0333
275293,1,104.5667
262112,2,1574.3667
278753,1,636.9667
180668,1,127.5333
172792,1,429.65
272510,1,357.8667
269541,5,1504.1167
198179,2,570.3
274825,1,1147.7833
263579,1,346.1833
173105,3,342.1
261905,4,2220.75
265966,2,853.8833
216394,3,2086
270671,2,419.3667
260616,5,1253.0833
274269,2,212.8667
274904,2,430.45
265092,6,1480.15
148089,1,7.3
264916,4,779.4333
259884,2,1119.3667
274070,2,1262.5667
181800,1,362.1167
205950,1,902.7333
213109,3,281.95
265789,1,251.8167
254431,6,1426.6667
274576,5,1203.1333
257384,4,630.0333
268357,3,1405.9833
270240,2,694.6833
272696,1,202.8
278055,1,222.3167
264687,1,82.5333
261590,4,864.2167
261647,1,914.2167
85568,18,0
268516,1,1269.25
147672,6,1214.3
47183,3,895.4833
270075,7,2588
264425,2,835.7667
270247,1,512.5167
254310,7,1317.85
234155,1,225.5333
267203,2,515.7667
268556,3,908.65
269070,1,573.3667
270179,2,536.1333
162497,6,1267.3833
175038,4,978.7833
270599,10,2619.6167
152896,1,687.7833
271872,1,391.6667
270460,1,936.0167
274382,3,626.35
219561,2,602.8833
275165,2,657.2667
161380,9,2880.0833
261510,2,170.35
266693,2,473.2667
270911,1,138.3
260608,1,638.9
272918,1,347.35
275282,5,941.8667
275799,1,324.6
263076,6,1315.4167
260042,8,1700.3167
204419,4,814.1167
259429,4,507.3167
269898,1,471.55
264514,1,763.4333
265878,3,636.0833
261883,1,426.7167
172127,3,734.5667
268863,2,517.4
160595,2,675.05
153741,1,917.05
275273,1,234.1667
166734,1,370.3833
275590,3,637.6333
269670,1,218.1333
268553,1,78.1333
159336,2,501.2333
122992,2,0
254858,1,257.5
272157,1,379.1333
269518,9,1662.8167
255220,2,1096.6333
41336,2,1463.2333
276232,1,301.6
274572,1,725.8333
279738,1,158.0667
253823,4,1089.6
261171,4,728.0833
269744,1,907.4333
250629,2,76.1667
264295,3,2376.15
252339,4,2260.8167
270367,1,341.5
235996,1,370.5333
268926,11,2070.15
209256,2,605.7333
276135,3,1138.9333
263456,1,262.45
159186,2,1421.55
274087,1,190
255827,6,1054.35
176391,1,405.5333
272463,1,364.7
272838,1,201.4833
269220,1,237.9833
165285,8,1583.35
158034,1,363.25
268990,2,1551.5833
16668,1,535.6667
274838,1,82.5333
254868,1,97.1167
252008,3,927.1833
260833,1,118.3333
261337,1,571.6667
255449,1,138.5333
266788,5,1288
253682,1,493.3167
158129,1,119.0167
276455,4,1248.85
265588,4,1465.75
277084,3,939.4833
260861,1,194.0333
269047,1,349.65
261777,10,2779.6333
170493,8,1078.9667
267010,3,1174.6667
272255,2,713.95
74498,1,163.85
228262,2,445.6
256969,1,454.6833
267765,2,428.7333
272717,4,2416.55
254558,2,757.5333
242454,6,841.8667
272261,1,485.1167
275275,1,324.9333
208957,1,180.35
275552,1,302.3833
159457,1,917.8167
153235,1,423.2833
267898,6,1379.6333
266758,2,1064.4167
269000,1,634.9167
269066,4,1832.5833
260465,4,1228.2
261682,4,1501.7667
152109,1,1411.3
271300,1,829.8333
273803,1,297.75
279766,1,132.8
266811,1,154.0667
246267,12,3711.6667
277508,4,991.05
274880,1,58.7333
262406,3,570.5667
157976,2,442.7333
270957,2,1320.95
155640,2,798.45
270824,1,215.2667
195307,1,324.3167
158724,5,1431.5667
165026,3,434.5333
255668,4,733.6333
267936,1,2542.9833
248305,1,558.0833
225789,2,442.5667
266112,5,5311.6167
257130,1,137.1833
254860,1,289.7
251774,1,504.3667
257151,1,916.0333
258044,1,1095.5667
156498,1,1126.25
161060,4,321.7
217601,2,349.7833
271664,1,536.6
148372,3,225.2
187880,1,155.5
272199,1,728.8667
194507,6,1316.05
271140,2,702.8167
165374,1,246.9833
185208,1,1019.3333
261019,2,719.5
259494,1,113.5833
270022,4,548.5667
254953,2,749.8
262459,1,1077.4167
207559,1,66.25
232131,2,595.0833
273249,1,395.9333
255296,1,589.55
274273,2,601.3333
204116,1,714.25
190803,5,978.5167
260998,15,1906.5
265101,3,424.8333
44965,1,319.3333
263368,1,387.0333
151694,1,3491.4833
53781,3,0.05
264623,1,220.9833
276784,1,550.5333
271185,1,1506.7833
190610,1,312.8333
149601,2,126.2667
278927,2,383.85
238800,1,366.6667
265928,7,1656.5167
259106,1,334.55
241632,3,977.6667
238987,4,570.5667
268989,4,1480.0833
268978,4,3002.2333
195508,12,2823.7667
269570,2,569.8
266766,2,1233.1333
272842,1,6163.1833
274861,3,1171.3833
278758,1,225.9333
267026,1,429.5833
271338,1,492.0167
252678,5,1582.2333
256670,6,1528.85
276439,6,1518.1
30206,1,483.1
17419,2,702.6333
274814,2,823.7167
171827,1,284.0167
171439,1,29.7667
265967,5,1371.45
253574,1,1176.1333
217558,1,0
258141,1,351.8167
268805,1,1880.25
266477,2,69.85
267843,2,56.8833
166145,1,533.25
272001,2,1298.6167
145177,1,918.1667
157277,2,1884.2167
275470,7,1443.3667
255275,3,723.55
275103,1,169.4833
275008,1,173.4333
277825,1,338.3167
187237,1,0
259504,6,2051.8
179203,3,2255.9167
142814,1,162.3167
265686,1,132.8167
270833,2,506.4833
272909,8,4111.9333
275788,3,385.5833
268011,7,2544.7667
176012,1,222.8333
277285,1,992.1333
144348,1,863.8833
89102,2,0.1
254929,1,833.8333
156407,9,1708.7
244886,3,556.7167
270393,2,700.2
271519,3,1571.2167
208948,7,0
265176,1,57.8167
256448,5,2073.8667
21229,1,138.1167
260649,2,323.2167
157198,7,2434.8167
143561,10,2309.3333
269872,4,701.0333
147878,7,2938.0667
255186,3,404.5333
259767,3,1997.0667
273654,1,333.5
270619,2,344.35
190825,2,631.1
143701,1,1023.3333
278283,2,1054.8833
268390,13,2009.3833
15772,4,1110.1833
268510,1,167.5333
259174,1,281.5
267949,1,110.65
230140,2,608.9
147132,1,357.9167
145013,1,697.0167
19124,2,1868.85
156776,3,1558.35
256432,1,549.55
172619,3,1171.35
255271,1,222.0833
261801,11,2338.6167
263293,3,995.5
271800,2,2011.0667
259483,1,75.4333
146855,4,373.4
155427,1,1523.0833
143709,3,1462.2167
172793,3,876.1667
265808,1,486.9833
254931,1,239.85
170879,7,1262.8667
29758,3,692.8333
172289,1,388.4
276490,1,1165.85
147087,1,1221.5
264954,1,681.85
269540,1,374.35
34121,1,450.6667
273371,2,168.5333
258337,2,675.45
274050,10,3073.05
217155,5,1157.15
266012,1,1258.25
269646,1,1220.0667
183978,9,2010.4333
270135,1,249.3333
20710,8,2222.05
272437,2,789.95
270738,1,1342.0667
254601,3,386.55
161693,1,358.4167
12279,1,200.9833
266332,3,705.8
148628,1,402.0333
267854,2,271.75
262599,1,296.0667
156206,4,3087.2667
156649,6,2343.2833
199192,1,572.9167
196809,5,765.3667
266529,4,1179.8
156587,2,353.3833
169624,21,0
272596,2,1042.1333
190625,1,1031.0167
274836,1,89.1833
159873,10,1347.2333
243847,1,528.1667
227874,2,395.8667
266041,1,168.1667
156647,2,2355.2
267916,10,2326.6667
261212,5,1409.4333
260910,2,529.8333
269492,1,588.65
254466,1,130.5833
233988,1,289.4
272570,1,325.3833
115019,2,638.15
277791,1,488.25
273992,2,356.4833
277964,1,308.6167
278881,2,490.3333
148886,1,2067.2833
171585,1,49.5667
278882,1,174.7833
257415,1,181.4
269843,1,513.4667
181083,1,225.7167
255058,2,731.7333
161173,1,319.9
254972,1,173.5667
274908,1,458.45
275021,3,210.4667
247618,1,581
159370,11,6464.8167
254759,1,336.6
270363,1,255.4167
149787,1,163.8167
238848,7,1924.9333
172535,3,604.2667
39563,5,599.2167
216478,2,291.9833
272569,1,187.8333
275277,1,528
276265,1,280.65
275038,4,715.0333
264472,1,195.5333
160960,4,1116.0167
254713,8,1835.5333
263690,4,1030.0667
265970,1,163.2167
256954,2,284.45
271015,2,2044.0167
261813,2,427.45
268408,1,240.9
238879,1,52.3667
275129,3,1416.2667
156510,1,234.0167
259959,2,334.9
263480,2,228.2
240294,1,120.6333
264476,3,1397.1833
261466,6,1621.3667
259011,3,621.9833
260980,4,817.0167
277864,1,288.5333
271837,1,236.6
260572,2,426.8
156409,1,709.4333
171738,4,772.2667
179127,1,299.1667
171313,3,1449.7
269519,2,521.85
150745,2,1286.85
145310,1,41.4167
274039,7,1160.6
272882,1,327.0333
159060,1,176.5167
276395,1,146.7833
277099,1,187.3667
149042,1,489.5333
156057,1,967.8833
193509,1,31.0333
261802,1,361.0667
161844,1,703.6
264049,1,368.1667
277557,2,1308.0167
188507,1,225.7667
274611,1,152.2333
248036,2,354.75
264253,1,337.0667
268129,3,593
254553,2,1148.9667
233619,6,1523.6
184826,2,512.9833
171339,1,535.2833
156767,1,164.8333
270633,2,692.1
277590,2,458.0667
185848,3,994.3167
269314,4,1675.65
17613,1,223.8333
273060,1,974.5167
274798,1,629.15
274906,7,1482.15
276887,1,449.7167
145561,1,197.2
268154,1,310.5667
213528,1,174.3333
192420,3,451.1333
234596,1,773.7667
256703,8,1914.4167
172218,1,154.3833
15743,1,87.1333
169966,1,469.45
260168,2,935.2667
150949,8,5249.05
268825,1,1609.35
271543,2,951.15
227678,2,772.9
272543,1,172
272035,1,2081.6
10422,6,871.9833
274163,1,737.0167
153103,1,1209.3667
278177,1,200.8833
261593,1,270.4167
156183,1,812.9833
156467,6,1557.3167
212463,4,3434.4167
248414,3,427.0333
253827,2,968.85
197505,10,719.4333
183819,1,229.7667
274996,3,760.4
277410,1,146.9833
12532,1,481.9
264146,7,1809.1
244031,1,369.0167
253264,1,898.4167
157285,1,277.1167
259860,5,1595.1167
235274,3,345.5
268866,2,441.7833
256834,1,130
265519,2,470.3833
266001,3,1749.95
260173,3,1378.0667
275449,3,772.0667
277398,1,536.7833
275574,1,419.9167
275286,1,269.1833
270930,1,397.1667
279468,1,160.0833
261785,3,1445.7
179118,1,118.1333
269934,4,879.1167
271035,3,1532.8833
271991,3,1079.05
156276,2,597.6833
176090,6,2779.9833
254098,1,30.75
9754,1,702.7667
272965,8,2342.55
254378,1,274.4167
153765,3,1021.6333
272865,2,846.0667
150090,2,1499.2667
270042,1,1368.35
262569,1,395.4
262585,2,1220.9833
271348,3,890.8167
264404,1,518.6
176531,5,656.2333
275020,6,1193.2667
262641,1,542.6333
229699,3,388.65
149652,5,1176.8667
16979,3,535.6833
185851,6,2785.4167
171900,6,3448.2167
254914,4,1020.1
274209,1,1029.2167
277066,2,833.4167
161210,5,805.45
265653,1,181.8167
264761,1,127.9667
200231,1,906.8667
30872,1,1001.9667
196681,1,543.0833
146149,3,938.25
263706,1,148.8833
269054,2,778.3333
263494,1,798.05
157698,2,778.3667
275132,3,574.7833
147687,1,3761.35
159548,3,569.8667
219488,5,1399.1667
268331,1,2237.55
267064,6,1787.35
266614,4,819.3333
59568,1,176.5667
144397,13,1242.3667
235735,1,534.15
261756,6,1424.6667
14700,35,1657.05
272504,1,335.05
255187,1,53.3333
215160,2,388.9833
260754,5,1256.0333
268962,1,569.2333
265003,3,1115.9
149195,2,2299.2167
255282,2,657.8
274630,1,178.6333
182880,1,492.4333
274929,2,815.8667
267885,1,443.6333
274162,1,847.95
269020,1,125.7833
182808,1,365.0667
190394,1,89.3
268714,3,561.0833
154092,4,1563.8
258636,3,687.7667
260345,3,1387.15
161537,1,91.05
273423,18,5334.7833
274564,4,1862.7833
161496,1,688.05
273841,1,1047.5167
278509,1,662.55
11353,2,1095.9
147956,13,2288.9833
269671,2,465.35
265005,1,525.8333
265130,1,118.85
181620,1,1199.1333
225955,1,363.3667
236361,1,456.7
236797,1,628.1
262412,2,687.7333
236628,2,856.9
21615,1,0
225394,1,341.8
261819,1,37.4333
261393,1,412.7833
268764,6,1941.1
265250,3,1213.6333
149323,1,172.9667
268800,3,753.9
254813,2,601.65
257112,2,265.6
154291,1,371.3667
276783,3,698.8333
278326,1,271.5333
278582,2,396.0833
